方向,時間,左轉大型車,左轉小型車,左轉機車,左轉PCU,左轉轉向比,左轉機車二段,右轉大型車,右轉小型車,右轉機車,右轉PCU,右轉轉向比,直行大型車,直行小型車,直行機車,直行PCU,直行轉向比,大型車,車種比例,小型車(輛),車種比例,機車(輛),車種比例,PCU
A,07:00-08:00,4,275,273,414,31%,0,52,543,586,883,66%,1,30,18,44,3%,57,3%,848,48%,877,49%,1341
A,08:00-09:00,4,310,410,510,37%,0,47,474,666,838,60%,0,31,19,43,3%,51,3%,815,42%,1095,55%,1391
A,17:00-18:00,8,552,1446,1217,44%,0,48,599,1939,1500,55%,0,19,15,28,1%,56,1%,1170,25%,3400,74%,2745
A,18:00-19:00,5,642,1689,1410,47%,0,52,558,2218,1583,52%,0,22,29,38,1%,57,1%,1222,23%,3936,76%,3031
B,07:00-08:00,0,121,0,127,6%,96,35,1151,1815,1976,94%,0,0,0,0,0,35,1%,1272,41%,1815,58%,2103
B,08:00-09:00,0,92,3,98,4%,128,35,1339,2593,2491,96%,0,0,0,0,0,35,1%,1431,35%,2596,64%,2589
B,17:00-18:00,0,89,0,93,8%,85,36,562,916,1012,92%,0,0,0,0,0,36,2%,651,41%,916,57%,1105
B,18:00-19:00,1,86,0,92,9%,81,22,506,819,890,91%,0,0,0,0,0,23,2%,592,41%,819,57%,982
D,07:00-08:00,0,0,0,0,0,0,14,270,657,571,60%,6,285,114,381,40%,20,1%,555,41%,771,58%,952
D,08:00-09:00,0,0,0,0,0,0,15,291,776,644,69%,0,215,108,286,31%,15,1%,506,36%,884,63%,930
D,17:00-18:00,0,0,0,0,0,0,24,703,1816,1509,81%,0,226,221,355,19%,24,1%,929,31%,2037,68%,1864
D,18:00-19:00,0,0,0,0,0,0,11,680,1926,1509,81%,0,224,235,359,19%,11,0%,904,29%,2161,71%,1868
合計,07:00-08:00,4,396,273,541,12%,96,101,1964,3058,3430,78%,7,315,132,425,10%,112,2%,2675,43%,3463,55%,4396
合計,08:00-09:00,4,402,413,608,12%,128,97,2104,4035,3973,81%,0,246,127,329,7%,101,1%,2752,37%,4575,62%,4910
合計,17:00-18:00,8,641,1446,1310,23%,85,108,1864,4671,4021,70%,0,245,236,383,7%,116,1%,2750,30%,6353,69%,5714
合計,18:00-19:00,6,728,1689,1502,26%,81,85,1744,4963,3982,67%,0,246,264,397,7%,91,1%,2718,28%,6916,71%,5881
