,All,,,,A,,,,B,,,,D,,,
Year,07:00-08:00,08:00-09:00,17:00-18:00,18:00-19:00,07:00-08:00,08:00-09:00,17:00-18:00,18:00-19:00,07:00-08:00,08:00-09:00,17:00-18:00,18:00-19:00,07:00-08:00,08:00-09:00,17:00-18:00,18:00-19:00
98PCU,4895,5007,5517,6043,1304,1269,2792,3220,2089,2828,1121,1047,977,1014,1800,1993
100PCU,3451,4954,5777,6193,1341,1391,2745,3031,2103,2589,1105,982,952,930,1864,1868
102PCU,5310,4345,5310,6028,1412,1440,2977,3467,2420,3205,1361,1215,980,923,1903,2043
103PCU,4450,4814,5345,5950,1281,1403,2822,3257,2483,2748,1101,1072,944,899,1600,1794
104PCU,4332,4921,5054,5754,1033,1595,3077,3460,1839,3028,1109,1152,701,905,1614,1935
105PCU,3573,5528,5800,6547,1236,1225,2502,2879,2215,2744,1066,1121,881,952,1486,1742
106PCU,4708,5050,5523,6123,1325,1083,2777,3226,2375,2923,1191,1069,750,808,1377,1655
107PCU,4812,5568,6241,6725,1309,1092,2751,3311,2317,2910,1190,1045,719,811,1369,4813
108PCU,4396,4910,5714,5881,1161,1534,2998,3476,1742,2586,1274,1164,548,834,1505,1553
109PCU,4370,5111,5713,6260,1752,1618,2753,3050,2225,2563,1148,1221,918,826,1616,1772
ALL,39927,45097,50281,55244,11402,12032,25441,29327,19583,25561,10518,9867,7452,8076,14518,19396
