Year,Month,Date,方向,轉向,時間,PCU,轉向比,天氣
106,10,25,南海路往西,左,07:00-08:00,417,33%,晴
106,10,25,南海路往西,左,08:00-09:00,512,36%,晴
106,10,25,南海路往西,左,17:00-18:00,1211,43%,晴
106,10,25,南海路往西,左,18:00-19:00,1828,44%,晴
106,10,25,南海路往西,直行,07:00-08:00,819,63%,晴
106,10,25,南海路往西,直行,08:00-09:00,840,60%,晴
106,10,25,南海路往西,直行,17:00-18:00,1552,55%,晴
106,10,25,南海路往西,直行,18:00-19:00,1777,55%,晴
106,10,25,南海路往西,右,07:00-08:00,45,4%,晴
106,10,25,南海路往西,右,08:00-09:00,51,4%,晴
106,10,25,南海路往西,右,17:00-18:00,59,2%,晴
106,10,25,南海路往西,右,18:00-19:00,45,1%,晴
106,10,25,重慶南路往北,左,07:00-08:00,124,5%,晴
106,10,25,重慶南路往北,左,08:00-09:00,91,3%,晴
106,10,25,重慶南路往北,左,17:00-18:00,64,6%,晴
106,10,25,重慶南路往北,左,18:00-19:00,65,6%,晴
106,10,25,重慶南路往北,直行,07:00-08:00,2359,95%,晴
106,10,25,重慶南路往北,直行,08:00-09:00,2657,97%,晴
106,10,25,重慶南路往北,直行,17:00-18:00,1037,94%,晴
106,10,25,重慶南路往北,直行,18:00-19:00,1007,94%,晴
106,10,25,重慶南路往北,右,07:00-08:00,0,0%,晴
106,10,25,重慶南路往北,右,08:00-09:00,0,0%,晴
106,10,25,重慶南路往北,右,17:00-18:00,0,0%,晴
106,10,25,重慶南路往北,右,18:00-19:00,0,0%,晴
106,10,25,重慶南路往南,左,07:00-08:00,0,0%,晴
106,10,25,重慶南路往南,左,08:00-09:00,0,0%,晴
106,10,25,重慶南路往南,左,17:00-18:00,0,0%,晴
106,10,25,重慶南路往南,左,18:00-19:00,0,0%,晴
106,10,25,重慶南路往南,直行,07:00-08:00,577,61%,晴
106,10,25,重慶南路往南,直行,08:00-09:00,656,73%,晴
106,10,25,重慶南路往南,直行,17:00-18:00,1320,82%,晴
106,10,25,重慶南路往南,直行,18:00-19:00,1501,84%,晴
106,10,25,重慶南路往南,右,07:00-08:00,367,39%,晴
106,10,25,重慶南路往南,右,08:00-09:00,243,27%,晴
106,10,25,重慶南路往南,右,17:00-18:00,280,18%,晴
106,10,25,重慶南路往南,右,18:00-19:00,293,16%,晴
105,7,27,南海路往西,左,07:00-08:00,364,35%,晴
105,7,27,南海路往西,左,08:00-09:00,539,34%,晴
105,7,27,南海路往西,左,17:00-18:00,1362,44%,晴
105,7,27,南海路往西,左,18:00-19:00,1594,46%,晴
105,7,27,南海路往西,直行,07:00-08:00,638,62%,晴
105,7,27,南海路往西,直行,08:00-09:00,1005,63%,晴
105,7,27,南海路往西,直行,17:00-18:00,1636,53%,晴
105,7,27,南海路往西,直行,18:00-19:00,1798,52%,晴
105,7,27,南海路往西,右,07:00-08:00,31,3%,晴
105,7,27,南海路往西,右,08:00-09:00,51,3%,晴
105,7,27,南海路往西,右,17:00-18:00,79,3%,晴
105,7,27,南海路往西,右,18:00-19:00,68,2%,晴
105,7,27,重慶南路往北,左,07:00-08:00,61,3%,晴
105,7,27,重慶南路往北,左,08:00-09:00,76,3%,晴
105,7,27,重慶南路往北,左,17:00-18:00,81,7%,晴
105,7,27,重慶南路往北,左,18:00-19:00,65,6%,晴
105,7,27,重慶南路往北,直行,07:00-08:00,1778,97%,晴
105,7,27,重慶南路往北,直行,08:00-09:00,2952,97%,晴
105,7,27,重慶南路往北,直行,17:00-18:00,1028,93%,晴
105,7,27,重慶南路往北,直行,18:00-19:00,1087,94%,晴
105,7,27,重慶南路往北,右,07:00-08:00,0,0%,晴
105,7,27,重慶南路往北,右,08:00-09:00,0,0%,晴
105,7,27,重慶南路往北,右,17:00-18:00,0,0%,晴
105,7,27,重慶南路往北,右,18:00-19:00,0,0%,晴
105,7,27,重慶南路往南,左,07:00-08:00,0,0%,晴
105,7,27,重慶南路往南,左,08:00-09:00,0,0%,晴
105,7,27,重慶南路往南,左,17:00-18:00,0,0%,晴
105,7,27,重慶南路往南,左,18:00-19:00,0,0%,晴
105,7,27,重慶南路往南,直行,07:00-08:00,499,71%,晴
105,7,27,重慶南路往南,直行,08:00-09:00,675,75%,晴
105,7,27,重慶南路往南,直行,17:00-18:00,1380,86%,晴
105,7,27,重慶南路往南,直行,18:00-19:00,1638,85%,晴
105,7,27,重慶南路往南,右,07:00-08:00,202,29%,晴
105,7,27,重慶南路往南,右,08:00-09:00,230,25%,晴
105,7,27,重慶南路往南,右,17:00-18:00,234,14%,晴
105,7,27,重慶南路往南,右,18:00-19:00,297,15%,晴
104,6,11,南海路往西,左,07:00-08:00,435,35%,晴
104,6,11,南海路往西,左,08:00-09:00,482,39%,晴
104,6,11,南海路往西,左,17:00-18:00,991,40%,晴
104,6,11,南海路往西,左,18:00-19:00,1201,42%,晴
104,6,11,南海路往西,直行,07:00-08:00,746,61%,晴
104,6,11,南海路往西,直行,08:00-09:00,691,57%,晴
104,6,11,南海路往西,直行,17:00-18:00,1371,54%,晴
104,6,11,南海路往西,直行,18:00-19:00,1576,54%,晴
104,6,11,南海路往西,右,07:00-08:00,55,4%,晴
104,6,11,南海路往西,右,08:00-09:00,52,4%,晴
104,6,11,南海路往西,右,17:00-18:00,140,6%,晴
104,6,11,南海路往西,右,18:00-19:00,102,4%,晴
104,6,11,重慶南路往北,左,07:00-08:00,164,7%,晴
104,6,11,重慶南路往北,左,08:00-09:00,156,6%,晴
104,6,11,重慶南路往北,左,17:00-18:00,89,8%,晴
104,6,11,重慶南路往北,左,18:00-19:00,80,7%,晴
104,6,11,重慶南路往北,直行,07:00-08:00,2051,93%,晴
104,6,11,重慶南路往北,直行,08:00-09:00,2588,94%,晴
104,6,11,重慶南路往北,直行,17:00-18:00,977,92%,晴
104,6,11,重慶南路往北,直行,18:00-19:00,1041,93%,晴
